Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-0.0057,-0.0015,-0.0013
2,-0.0168,-0.0028,-0.0042
3,-0.0293,-0.0074,-0.0094
4,-0.0388,-0.0056,-0.0123
5,-0.0523,-0.0103,-0.0154
6,-0.0575,-0.0124,-0.0184
7,-0.0595,-0.0144,-0.0216
8,-0.0645,-0.0167,-0.0234
9,-0.0649,-0.0198,-0.0256
10,-0.0678,-0.0207,-0.0277
11,-0.0698,-0.0231,-0.0313
12,-0.0688,-0.0253,-0.0342
13,-0.0662,-0.0251,-0.0365
14,-0.0598,-0.0263,-0.0401
15,-0.0516,-0.0286,-0.0435
16,-0.0419,-0.0307,-0.0464
17,-0.0324,-0.0321,-0.0507
18,-0.0233,-0.0346,-0.0535
19,-0.0145,-0.0342,-0.0568
20,-0.004,-0.0359,-0.0606
21,0.0119,-0.0389,-0.0638
22,0.0287,-0.0409,-0.0668
23,0.05,-0.0415,-0.071
24,0.0685,-0.0432,-0.0749
25,0.0906,-0.0442,-0.0782
26,0.1141,-0.046,-0.0812
27,0.1359,-0.0457,-0.0852
28,0.1581,-0.0462,-0.0889
29,0.1834,-0.0462,-0.0925
30,0.2115,-0.0489,-0.0945
31,0.2401,-0.0501,-0.098
32,0.2729,-0.0499,-0.1014
33,0.3072,-0.0488,-0.1056
34,0.3408,-0.0487,-0.1086
35,0.3759,-0.0491,-0.1119
36,0.4106,-0.0504,-0.1143
37,0.4473,-0.0507,-0.1178
38,0.4841,-0.0489,-0.1203
39,0.5229,-0.0494,-0.1242
40,0.5619,-0.0488,-0.1278
41,0.6036,-0.0477,-0.1301
42,0.6452,-0.0476,-0.1336
43,0.6873,-0.0478,-0.137
44,0.73,-0.0474,-0.1405
45,0.7755,-0.0481,-0.1435
46,0.8208,-0.0471,-0.1466
47,0.8655,-0.0467,-0.1499
48,0.9124,-0.0459,-0.1529
49,0.9603,-0.0466,-0.1578
50,1.0072,-0.0459,-0.1616
51,1.0548,-0.0435,-0.1646
52,1.1075,-0.0426,-0.1668
53,1.1582,-0.0406,-0.1693
54,1.209,-0.0411,-0.1719
55,1.2607,-0.04,-0.174
56,1.3135,-0.0384,-0.1768
57,1.3675,-0.0369,-0.1794
58,1.4252,-0.0354,-0.182
59,1.4835,-0.0345,-0.1856
60,1.5389,-0.0323,-0.1896
61,1.5961,-0.0329,-0.1933
62,1.654,-0.0332,-0.1967
63,1.7141,-0.0328,-0.2
64,1.772,-0.0341,-0.2031
65,1.8316,-0.0297,-0.206
66,1.8876,-0.0273,-0.2088
67,1.9472,-0.0266,-0.212
68,2.006,-0.0257,-0.2153
69,2.0659,-0.0263,-0.2175
70,2.1268,-0.0262,-0.2213
71,2.1899,-0.0226,-0.2241
72,2.2499,-0.0217,-0.227
73,2.3113,-0.019,-0.2298
74,2.3727,-0.0186,-0.2324
75,2.4345,-0.0163,-0.2354
76,2.4944,-0.0113,-0.2383
77,2.556,-0.0064,-0.2422
78,2.6196,-0.0009,-0.245
79,2.6827,0.0029,-0.2482
80,2.7432,0.0067,-0.2526
81,2.8069,0.0105,-0.2557
82,2.8731,0.0118,-0.2589
83,2.9376,0.0148,-0.2626
84,2.9983,0.0203,-0.2658
85,3.0593,0.0243,-0.2689
86,3.1244,0.0299,-0.2721
87,3.1892,0.0322,-0.2762
88,3.2534,0.0361,-0.2798
89,3.316,0.0393,-0.2829
90,3.379,0.0429,-0.2862
91,3.4417,0.0432,-0.2898
92,3.5062,0.0433,-0.2925
93,3.5714,0.0466,-0.2961
94,3.6355,0.0485,-0.2985
95,3.6988,0.0523,-0.3015
96,3.7626,0.0568,-0.305
97,3.8275,0.0594,-0.3075
98,3.8896,0.06,-0.3123
99,3.9527,0.0611,-0.3155
100,4.0136,0.0618,-0.3179
101,4.0739,0.0657,-0.3222
102,4.1363,0.0682,-0.3265
103,4.1963,0.0704,-0.33
104,4.2574,0.0741,-0.3332
105,4.3189,0.0787,-0.3364
106,4.377,0.0813,-0.34
107,4.4348,0.0825,-0.3421
108,4.4937,0.0828,-0.3456
109,4.5516,0.0852,-0.3493
110,4.6115,0.0883,-0.3521
111,4.6774,0.0917,-0.3556
112,4.7361,0.0938,-0.3576
113,4.7935,0.0969,-0.3612
114,4.8545,0.1014,-0.3651
115,4.9139,0.1041,-0.3678
116,4.9735,0.1079,-0.3703
117,5.0325,0.1118,-0.3733
118,5.0898,0.115,-0.3758
119,5.1431,0.1157,-0.3787
120,5.1989,0.1168,-0.3829
121,5.2548,0.1185,-0.3867
122,5.3148,0.1222,-0.389
123,5.3713,0.1263,-0.393
124,5.4264,0.1281,-0.3968
125,5.4825,0.1276,-0.4009
126,5.5377,0.1324,-0.4041
127,5.5971,0.1338,-0.4084
128,5.6496,0.1366,-0.4104
129,5.7023,0.1382,-0.4144
130,5.7594,0.138,-0.4186
131,5.8118,0.1434,-0.4225
132,5.8628,0.1452,-0.4246
133,5.9124,0.1465,-0.4282
134,5.9631,0.1497,-0.4319
135,6.017,0.156,-0.4355
136,6.0693,0.1568,-0.4388
137,6.1185,0.16,-0.4413
138,6.1681,0.1657,-0.4449
139,6.2187,0.1704,-0.4492
140,6.2685,0.1743,-0.4508
141,6.3161,0.1774,-0.453
142,6.3593,0.1789,-0.4561
143,6.4054,0.1789,-0.4588
144,6.4494,0.1788,-0.4622
145,6.4953,0.1772,-0.4643
146,6.5408,0.1821,-0.4673
147,6.5867,0.1868,-0.4701
148,6.6303,0.1869,-0.4726
149,6.669,0.187,-0.4771
150,6.7129,0.1881,-0.4808
151,6.7535,0.1882,-0.4837
152,6.7992,0.1921,-0.4878
153,6.8426,0.1945,-0.4912
154,6.8859,0.1954,-0.4944
155,6.9307,0.1993,-0.4977
156,6.9743,0.2054,-0.5004
157,7.0142,0.2077,-0.5038
158,7.0539,0.2122,-0.508
159,7.0917,0.2178,-0.5106
160,7.1332,0.225,-0.5147
161,7.1703,0.23,-0.5193
162,7.2123,0.2343,-0.5222
163,7.2537,0.2357,-0.5259
164,7.2929,0.2382,-0.5287
165,7.3304,0.2388,-0.5312
166,7.3662,0.2395,-0.5357
167,7.4012,0.2429,-0.5395
168,7.4387,0.2436,-0.5425
169,7.4764,0.2451,-0.5459
170,7.5115,0.2448,-0.5481
171,7.547,0.2466,-0.5497
172,7.5763,0.2457,-0.5538
173,7.608,0.2472,-0.5579
174,7.6367,0.2475,-0.5621
175,7.6689,0.2483,-0.5647
176,7.7,0.2495,-0.5673
177,7.7315,0.2524,-0.5706
178,7.7622,0.2558,-0.5729
179,7.7939,0.2548,-0.5765
180,7.8222,0.2591,-0.579
181,7.8522,0.2602,-0.5809
182,7.8819,0.2617,-0.5847
183,7.913,0.2666,-0.5869
184,7.9467,0.2733,-0.5887
185,7.9787,0.2817,-0.5916
186,8.0091,0.2869,-0.5949
187,8.0397,0.2889,-0.5978
188,8.0653,0.2928,-0.6008
189,8.0968,0.298,-0.6041
190,8.1267,0.3007,-0.6068
191,8.1541,0.3009,-0.6109
192,8.1838,0.3015,-0.6145
193,8.2118,0.3013,-0.6163
194,8.2373,0.3056,-0.6206
195,8.264,0.3095,-0.6245
196,8.2899,0.311,-0.6277
197,8.3149,0.3118,-0.6309
198,8.3385,0.3182,-0.6336
199,8.3647,0.3199,-0.638
200,8.3947,0.3227,-0.64
201,8.4208,0.3249,-0.6427
202,8.4466,0.3255,-0.6453
203,8.4709,0.324,-0.6496
204,8.4917,0.3255,-0.6526
205,8.5096,0.3267,-0.6548
206,8.5344,0.3277,-0.6581
207,8.5574,0.3284,-0.6605
208,8.5813,0.3347,-0.6634
209,8.6026,0.3389,-0.6664
210,8.6238,0.3421,-0.6693
211,8.6425,0.3435,-0.6714
212,8.6628,0.3455,-0.6755
213,8.6821,0.3457,-0.6793
214,8.6999,0.3476,-0.6821
215,8.7184,0.3454,-0.6851
216,8.7376,0.3433,-0.6878
217,8.7593,0.3437,-0.6923
218,8.7742,0.3434,-0.6954
219,8.7925,0.3436,-0.6983
220,8.8069,0.3433,-0.7012
221,8.8245,0.3448,-0.7045
222,8.8424,0.3448,-0.7082
223,8.861,0.3473,-0.7114
224,8.8785,0.349,-0.7144
225,8.8933,0.3481,-0.7183
226,8.9098,0.3527,-0.7207
227,8.9281,0.3484,-0.7234
228,8.9402,0.346,-0.7257
229,8.9566,0.3444,-0.7284
230,8.972,0.3444,-0.7323
231,8.9874,0.3461,-0.7358
232,9.001,0.3501,-0.738
233,9.0131,0.3498,-0.7408
234,9.0243,0.3585,-0.7452
235,9.0377,0.3566,-0.7468
236,9.0549,0.3629,-0.7495
237,9.0702,0.3638,-0.7533
238,9.0826,0.3683,-0.7562
239,9.0954,0.3703,-0.76
240,9.109,0.3696,-0.7621
241,9.1221,0.3684,-0.7662
242,9.1354,0.3685,-0.7689
243,9.1467,0.3654,-0.7718
244,9.1547,0.3687,-0.7753
245,9.1662,0.3677,-0.7796
246,9.1761,0.3669,-0.7833
247,9.1816,0.3662,-0.7869
248,9.1916,0.3681,-0.7899
249,9.2007,0.3661,-0.7933
250,9.2139,0.3699,-0.7957
251,9.222,0.3716,-0.7994
252,9.2329,0.3734,-0.8022
253,9.2442,0.3738,-0.8052
254,9.2519,0.3734,-0.8076
255,9.2614,0.3756,-0.8111
256,9.274,0.3777,-0.8133
257,9.2807,0.3795,-0.8159
258,9.2876,0.3765,-0.8177
259,9.2951,0.3762,-0.8209
260,9.3,0.3787,-0.8237
261,9.3108,0.3829,-0.8273
262,9.3218,0.3821,-0.83
263,9.3339,0.3828,-0.8326
264,9.3374,0.3857,-0.8348
265,9.3404,0.3833,-0.8372
266,9.343,0.3795,-0.8408
267,9.3468,0.381,-0.8453
268,9.3567,0.3813,-0.8485
269,9.3652,0.3833,-0.8516
270,9.3714,0.3813,-0.8546
271,9.3787,0.3777,-0.8581
272,9.3855,0.379,-0.8619
273,9.3886,0.3788,-0.8651
274,9.3957,0.3799,-0.8682
275,9.403,0.3762,-0.8719
276,9.4081,0.378,-0.8753
277,9.4165,0.3761,-0.8785
278,9.4227,0.375,-0.8833
279,9.4361,0.3794,-0.8878
280,9.4426,0.3755,-0.8892
281,9.4477,0.3785,-0.892
282,9.4513,0.3769,-0.8952
283,9.4534,0.3756,-0.8983
284,9.4607,0.3782,-0.902
285,9.467,0.3794,-0.905
286,9.4746,0.3834,-0.9077
287,9.4781,0.3845,-0.9108
288,9.4789,0.3852,-0.913
289,9.4815,0.3858,-0.9157
290,9.4861,0.386,-0.9186
291,9.4822,0.3865,-0.9216
292,9.4804,0.3881,-0.9242
293,9.4857,0.3877,-0.9272
294,9.4895,0.3927,-0.9288
295,9.4945,0.3963,-0.9328
296,9.4983,0.3966,-0.9351
297,9.4935,0.3974,-0.9385
298,9.4934,0.3992,-0.9421
299,9.4918,0.4016,-0.9444
300,9.4905,0.3994,-0.9474
301,9.4911,0.4035,-0.9499
302,9.4892,0.4083,-0.9535
303,9.4905,0.4108,-0.9564
304,9.4919,0.4112,-0.9594
305,9.4929,0.4137,-0.9621
306,9.4918,0.4116,-0.965
307,9.4944,0.4129,-0.968
308,9.4971,0.412,-0.9706
309,9.4979,0.4136,-0.9738
310,9.4978,0.4149,-0.9763
311,9.4992,0.4165,-0.9802
312,9.5011,0.4201,-0.9831
313,9.5015,0.4194,-0.9861
314,9.5033,0.42,-0.988
315,9.5054,0.4177,-0.9913
316,9.5095,0.413,-0.9943
317,9.512,0.4193,-0.9977
