Amostra,Pitch_X,Roll_Y,Yaw_Z
1,10.1329,0.114,-8.3452
2,11.2919,-0.1647,-8.3294
3,12.4424,-0.4184,-8.3114
4,13.6406,-0.6966,-8.2963
5,14.8497,-0.8155,-8.2845
6,16.0467,-0.8328,-8.2748
7,17.2472,-0.7971,-8.2669
8,18.4589,-0.7424,-8.2611
9,19.6871,-0.6287,-8.2545
10,20.9035,-0.4794,-8.2488
11,22.102,-0.3747,-8.2444
12,23.2959,-0.287,-8.2422
13,24.5232,-0.2415,-8.2454
14,25.7556,-0.1615,-8.2578
15,26.9763,-0.0964,-8.2782
16,28.1649,-0.0745,-8.3049
17,29.3545,-0.1119,-8.3362
18,30.5243,-0.1629,-8.3705
19,31.6735,-0.2499,-8.4044
20,32.7921,-0.4131,-8.4368
21,33.895,-0.6415,-8.4652
22,34.9928,-0.9216,-8.4905
23,36.063,-1.2022,-8.5142
24,37.109,-1.5395,-8.5344
25,38.1431,-1.8539,-8.5522
26,39.1568,-2.1222,-8.565
27,40.1348,-2.3636,-8.5751
28,41.0867,-2.5587,-8.5801
29,41.9993,-2.699,-8.5778
30,42.9016,-2.7911,-8.5676
31,43.8069,-2.8427,-8.5487
32,44.7023,-2.8704,-8.5252
33,45.5968,-2.8779,-8.4975
34,46.4896,-2.9131,-8.4707
35,47.3882,-2.899,-8.4452
36,48.2738,-2.8431,-8.4212
37,49.1426,-2.7761,-8.4027
38,49.9828,-2.7064,-8.3831
39,50.7936,-2.6359,-8.3654
40,51.5645,-2.6163,-8.3429
41,52.3241,-2.6237,-8.3144
42,53.0711,-2.6599,-8.2804
43,53.7935,-2.7115,-8.2437
44,54.521,-2.7937,-8.2067
45,55.2399,-2.8831,-8.1729
46,55.9553,-2.9511,-8.1386
47,56.6634,-2.9998,-8.1033
48,57.3385,-3.0591,-8.0671
49,57.9962,-3.1656,-8.031
50,58.6236,-3.3042,-7.9959
51,59.2264,-3.4199,-7.9613
52,59.8094,-3.4972,-7.9255
53,60.3719,-3.5728,-7.8903
54,60.9339,-3.5968,-7.8541
55,61.5036,-3.6234,-7.8174
56,62.0739,-3.6581,-7.782
57,62.6522,-3.6771,-7.7475
58,63.2301,-3.6526,-7.7162
59,63.8113,-3.6355,-7.6868
60,64.3898,-3.5647,-7.6579
61,64.9708,-3.483,-7.6312
62,65.5604,-3.3688,-7.6063
63,66.1553,-3.2751,-7.584
64,66.7595,-3.2494,-7.565
65,67.3564,-3.2363,-7.5492
66,67.9522,-3.2223,-7.5357
67,68.5383,-3.2637,-7.5254
68,69.1199,-3.3064,-7.5192
69,69.692,-3.3297,-7.5154
70,70.2575,-3.3448,-7.5149
71,70.8234,-3.3584,-7.5146
72,71.3742,-3.3309,-7.5177
73,71.9124,-3.3053,-7.5218
74,72.4454,-3.2884,-7.5281
75,72.957,-3.314,-7.5343
76,73.4464,-3.345,-7.5417
77,73.9148,-3.4239,-7.5492
78,74.3613,-3.5232,-7.558
79,74.797,-3.6136,-7.5665
80,75.2157,-3.6627,-7.5746
81,75.6113,-3.6622,-7.5826
82,75.9934,-3.7159,-7.5913
83,76.3637,-3.7611,-7.6008
84,76.7267,-3.7556,-7.6115
85,77.092,-3.7567,-7.6232
86,77.4693,-3.7252,-7.6362
87,77.8648,-3.5924,-7.6509
88,78.2765,-3.3422,-7.6639
89,78.6929,-3.1605,-7.6787
90,79.1049,-2.9917,-7.694
91,79.5234,-2.7591,-7.7104
92,79.9346,-2.5303,-7.7247
93,80.3405,-2.2907,-7.7367
94,80.7306,-2.1321,-7.7507
95,81.0989,-1.9995,-7.7652
96,81.45,-1.8858,-7.7821
97,81.7987,-1.7723,-7.8018
98,82.1505,-1.7229,-7.8243
99,82.5134,-1.6931,-7.8493
