Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-0.006,-0.0053,-0.0018
2,-0.0191,-0.0152,-0.0066
3,-0.0369,-0.0222,-0.0116
4,-0.053,-0.0257,-0.0142
5,-0.0695,-0.0272,-0.0163
6,-0.0846,-0.0307,-0.0207
7,-0.1035,-0.0352,-0.024
8,-0.1208,-0.0427,-0.0287
9,-0.1359,-0.0536,-0.0333
10,-0.1522,-0.0612,-0.0386
11,-0.1661,-0.065,-0.0425
12,-0.1789,-0.0649,-0.0458
13,-0.1911,-0.0619,-0.0524
14,-0.2016,-0.0639,-0.0588
15,-0.2187,-0.0669,-0.0653
16,-0.2348,-0.0759,-0.0732
17,-0.2469,-0.0864,-0.0785
18,-0.262,-0.1071,-0.0818
19,-0.2758,-0.1377,-0.0889
20,-0.2896,-0.1659,-0.0951
21,-0.302,-0.2002,-0.1011
22,-0.3112,-0.2279,-0.1028
23,-0.3365,-0.2537,-0.1051
24,-0.3472,-0.2617,-0.1055
25,-0.3482,-0.2564,-0.0989
26,-0.3419,-0.2417,-0.0895
27,-0.3397,-0.2117,-0.0858
28,-0.3494,-0.1701,-0.091
29,-0.3682,-0.1466,-0.0963
30,-0.3768,-0.1422,-0.1036
31,-0.3863,-0.1761,-0.1101
32,-0.3987,-0.2398,-0.1185
33,-0.4145,-0.3228,-0.1253
34,-0.4211,-0.3953,-0.1337
35,-0.4345,-0.4585,-0.1403
36,-0.447,-0.4991,-0.1458
37,-0.4564,-0.525,-0.1488
38,-0.4578,-0.5354,-0.1485
39,-0.4655,-0.538,-0.1523
40,-0.4767,-0.551,-0.1561
41,-0.4783,-0.5667,-0.1615
42,-0.479,-0.5952,-0.1657
43,-0.4817,-0.6225,-0.1708
44,-0.4867,-0.6438,-0.1757
45,-0.4933,-0.6598,-0.1804
46,-0.4958,-0.6742,-0.185
47,-0.5014,-0.6887,-0.191
48,-0.5089,-0.7131,-0.1979
49,-0.5163,-0.7455,-0.2055
50,-0.5151,-0.7839,-0.212
51,-0.5248,-0.8172,-0.2192
52,-0.5397,-0.843,-0.2305
53,-0.5453,-0.8796,-0.2399
54,-0.5337,-0.9233,-0.2517
55,-0.5286,-0.9613,-0.2626
56,-0.5222,-0.9911,-0.2746
57,-0.5117,-1.0188,-0.2832
58,-0.5067,-1.0434,-0.2949
59,-0.4993,-1.0761,-0.3049
60,-0.4953,-1.115,-0.3112
61,-0.4943,-1.1633,-0.3184
62,-0.4931,-1.2162,-0.327
63,-0.4869,-1.2692,-0.3324
64,-0.4806,-1.3213,-0.3387
65,-0.4656,-1.3561,-0.3424
66,-0.4449,-1.381,-0.3491
67,-0.4131,-1.3965,-0.3569
68,-0.3863,-1.4174,-0.3691
69,-0.3653,-1.4453,-0.379
70,-0.3568,-1.4791,-0.3847
71,-0.3751,-1.5156,-0.395
72,-0.3815,-1.5267,-0.4009
73,-0.3795,-1.5286,-0.4081
74,-0.3841,-1.5413,-0.4215
75,-0.383,-1.5506,-0.4375
76,-0.368,-1.558,-0.4513
77,-0.3632,-1.5753,-0.4661
78,-0.3604,-1.6164,-0.4874
79,-0.3662,-1.6326,-0.5109
80,-0.3589,-1.6426,-0.5421
81,-0.3451,-1.6451,-0.5728
82,-0.3372,-1.6244,-0.5933
83,-0.2995,-1.5808,-0.5987
84,-0.2727,-1.5637,-0.5994
85,-0.2429,-1.5712,-0.6031
86,-0.221,-1.5801,-0.6114
87,-0.2072,-1.5985,-0.6212
88,-0.1978,-1.617,-0.6316
89,-0.1582,-1.6493,-0.6397
90,-0.1238,-1.6863,-0.6484
91,-0.103,-1.7243,-0.6561
92,-0.086,-1.74,-0.6547
93,-0.061,-1.7842,-0.6525
94,-0.0143,-1.8169,-0.6409
95,0.0502,-1.8488,-0.632
96,0.1018,-1.8666,-0.621
97,0.1255,-1.908,-0.6081
98,0.2035,-1.9137,-0.5993
99,0.2028,-1.8929,-0.6016
100,0.1534,-1.8113,-0.6115
101,0.0803,-1.6859,-0.6344
102,0.0099,-1.5782,-0.6713
103,-0.1096,-1.4957,-0.7063
104,-0.2476,-1.4635,-0.745
105,-0.4136,-1.4774,-0.7969
106,-0.6491,-1.5121,-0.8503
