Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-0.3685,0.073,0.0352
2,-1.1516,0.1895,0.1275
3,-2.4151,0.3558,0.2966
4,-3.6954,0.5075,0.4906
5,-4.9859,0.6482,0.7097
6,-6.2841,0.7377,0.9751
7,-7.5921,1.1307,1.279
8,-8.9136,1.4909,1.5888
9,-10.2465,1.7922,1.8997
10,-11.5855,2.0108,2.1825
11,-12.8983,2.2174,2.4689
12,-13.8586,2.3868,2.733
13,-14.4019,2.5184,2.9472
14,-14.5094,2.6213,3.0919
15,-14.1997,1.8836,3.1673
16,-13.5325,1.1587,3.1937
17,-12.5383,0.4849,3.1725
18,-11.473,-0.1426,3.11
19,-10.4133,-0.7446,3.0064
20,-9.3542,-1.3342,2.8665
21,-8.3005,-1.911,2.6902
22,-7.24,-2.4764,2.4928
23,-6.1763,-3.0101,2.2918
24,-5.2199,-3.5058,2.1032
25,-4.5502,-3.921,1.9502
26,-4.1505,-4.2483,1.8544
27,-4.0202,-4.5429,1.814
28,-4.3037,-4.8641,1.831
29,-5.0818,-5.3716,1.8941
30,-6.1973,-5.9812,1.9993
31,-7.5732,-6.6191,2.1261
32,-9.1344,-7.2889,2.2723
33,-10.7101,-8.0261,2.4358
34,-12.2999,-6.9054,2.6227
35,-13.8928,-5.8489,2.8265
36,-15.4777,-4.8432,3.0414
37,-16.8824,-3.8911,3.2578
38,-18.0545,-2.9879,3.4583
39,-18.9371,-2.1012,3.6293
40,-19.5047,-1.2018,3.7795
41,-19.7434,-2.5287,3.8908
42,-19.6381,-3.8465,3.9545
43,-19.2381,-5.1556,3.9846
44,-18.6114,-6.4729,3.9909
45,-17.7969,-7.8098,3.9792
46,-16.9692,-9.1502,3.9456
47,-16.1488,-10.4687,3.8879
48,-15.3349,-11.7645,3.8045
49,-14.5192,-13.0342,3.7014
50,-13.7019,-14.2795,3.5843
51,-12.8815,-15.4872,3.4635
52,-12.2761,-16.6009,3.3539
53,-11.9438,-17.5869,3.2625
54,-11.8862,-18.3886,3.1908
55,-12.1059,-19.0246,3.1421
56,-12.5851,-19.5773,3.1224
57,-13.4546,-20.1319,3.1403
58,-14.7346,-20.945,3.1993
59,-16.291,-22.0189,3.2855
60,-18.0478,-23.1693,3.383
61,-19.8072,-24.3377,3.4865
62,-21.5639,-25.6348,3.6069
63,-23.3154,-27.0881,3.7434
64,-25.0593,-25.2644,3.8951
65,-26.7947,-23.4665,4.0426
66,-28.5291,-21.7003,4.1848
67,-30.0425,-19.9406,4.3006
68,-31.2882,-18.2171,4.3903
69,-32.2261,-16.5539,4.4613
70,-32.8469,-14.9169,4.5198
71,-33.1648,-13.2462,4.5617
72,-33.1976,-15.1932,4.5864
73,-32.9802,-17.0295,4.5899
74,-32.5451,-18.7719,4.5725
75,-31.95,-20.4633,4.5334
76,-31.2702,-22.1049,4.4715
77,-30.5767,-23.7166,4.3881
78,-29.9495,-25.2779,4.2872
79,-29.4615,-26.7669,4.1704
80,-29.163,-28.192,4.0412
81,-29.0898,-29.5371,3.9069
82,-29.2429,-30.7933,3.7883
83,-29.5545,-31.9999,3.7032
84,-30.2071,-33.2565,3.6735
85,-31.3233,-34.5873,3.7032
86,-32.7754,-35.9562,3.7736
87,-34.4039,-37.349,3.8585
88,-36.0306,-38.7527,3.9468
89,-37.6342,-40.147,4.0324
90,-39.2237,-41.5338,4.1233
91,-40.8168,-42.9734,4.238
92,-42.4166,-44.4894,4.3825
93,-44.0372,-46.0704,4.5289
94,-45.6703,-43.2323,4.6611
95,-47.1318,-40.474,4.7657
96,-48.3037,-37.8137,4.8374
97,-49.1466,-35.2618,4.8898
98,-49.653,-32.7777,4.9274
99,-49.8367,-30.3054,4.9456
100,-49.6995,-27.7712,4.9476
101,-49.2338,-29.8307,4.926
102,-48.4725,-31.7934,4.8765
103,-47.6353,-33.7032,4.806
104,-46.7581,-35.5979,4.718
105,-45.8511,-37.4468,4.6108
106,-44.9021,-39.2316,4.4862
107,-43.8858,-40.9204,4.348
108,-42.7578,-42.5066,4.1914
109,-41.6651,-44.008,4.0292
110,-40.7402,-45.4258,3.8852
111,-40.0005,-46.7957,3.7695
112,-39.4843,-48.0811,3.6837
113,-39.4124,-49.3834,3.6271
114,-39.9239,-50.7626,3.6026
115,-40.8734,-52.2439,3.6101
116,-42.1667,-53.7901,3.6441
117,-43.6986,-55.3935,3.6964
118,-45.2768,-56.9889,3.757
119,-46.8397,-58.5509,3.8198
120,-48.3947,-60.0985,3.8824
121,-49.9627,-61.6985,3.952
122,-51.5185,-58.2028,4.0617
123,-53.0821,-54.8264,4.1857
124,-54.4791,-51.5615,4.2883
125,-55.6238,-48.4373,4.3687
126,-56.4714,-45.4361,4.433
127,-56.9698,-42.5278,4.4896
128,-57.1047,-39.6284,4.5364
129,-56.8874,-36.6856,4.5676
130,-56.3498,-39.062,4.5713
131,-55.5329,-41.3507,4.5474
132,-54.6285,-43.6033,4.5071
133,-53.697,-45.8404,4.4534
134,-52.7634,-48.0327,4.3886
135,-51.8441,-50.147,4.3146
136,-50.9463,-52.141,4.2325
137,-50.0691,-54.0342,4.1427
138,-49.2158,-55.8694,4.0447
139,-48.4114,-57.6682,3.9442
140,-47.6614,-59.4759,3.8482
141,-46.9495,-61.3241,3.756
142,-46.2574,-63.3126,3.6626
143,-45.5931,-65.4204,3.56
144,-44.9829,-62.0376,3.4471
145,-44.4293,-59.1318,3.3254
146,-44.0061,-56.8086,3.2033
147,-43.7605,-55.1639,3.081
148,-43.6697,-53.9831,2.9565
149,-43.7452,-53.1812,2.8371
150,-43.9685,-52.7046,2.7249
151,-44.2766,-52.4383,2.6081
152,-44.6696,-52.1934,2.498
153,-45.3225,-51.9358,2.4017
154,-46.4565,-51.75,2.3119
155,-47.9854,-51.5931,2.2211
156,-49.8053,-51.5272,2.1355
157,-51.6905,-51.6671,2.0621
158,-53.5737,-53.2808,2.0114
159,-55.3421,-55.1223,1.9725
160,-57.0004,-57.139,1.9474
161,-58.5931,-59.2169,1.9291
162,-60.1131,-55.4538,1.9219
163,-61.6114,-57.6782,1.895
164,-63.0351,-53.9467,1.8904
165,-64.4478,-50.2834,1.8868
166,-65.8423,-46.6769,1.8986
167,-67.2502,-43.143,1.9144
168,-68.6576,-39.6651,1.9553
169,-70.0611,-36.219,2.0063
170,-71.0744,-32.7662,2.0574
171,-71.6666,-29.2885,2.0962
172,-71.8607,-25.8157,2.106
173,-71.6879,-22.3724,2.1087
174,-71.1556,-25.0775,2.1008
175,-70.2857,-27.6857,2.0764
176,-69.1833,-30.2018,2.0259
177,-68.0603,-32.6603,1.9517
178,-66.905,-35.0914,1.8543
179,-65.7175,-37.5071,1.7383
180,-64.4942,-39.9024,1.6073
181,-63.2401,-42.2515,1.4691
182,-61.9578,-44.5429,1.33
183,-60.6387,-46.7404,1.19
184,-59.2785,-48.8303,1.0506
185,-58.0858,-50.83,0.9179
186,-57.1618,-52.7448,0.7986
187,-56.5406,-54.5883,0.6933
188,-56.2902,-56.3819,0.5967
189,-56.339,-58.0882,0.5098
190,-56.6661,-59.6193,0.4277
191,-57.2396,-61.0376,0.3431
192,-58.0852,-62.5558,0.2635
193,-59.0429,-64.203,0.1983
194,-60.0662,-65.907,0.1456
195,-61.1262,-67.6309,0.1022
196,-62.2365,-69.3762,0.0667
197,-63.3729,-71.1358,0.0429
198,-64.551,-66.5432,0.0382
199,-65.7737,-62.0583,0.0531
200,-67.0315,-57.6748,0.0809
201,-68.3191,-53.392,0.1169
202,-69.6217,-49.24,0.1718
203,-70.938,-45.2136,0.2524
204,-71.9597,-41.3054,0.3472
205,-72.565,-37.5092,0.4486
206,-72.738,-33.7776,0.5417
207,-72.4452,-30.0844,0.5983
208,-71.7076,-26.4639,0.6247
209,-70.6133,-22.8489,0.6265
210,-69.5172,-25.7207,0.5914
211,-68.3959,-28.561,0.5227
212,-67.248,-31.3767,0.4239
213,-66.082,-34.1509,0.3042
214,-64.9135,-36.8715,0.1624
215,-63.7472,-39.5266,0.0025
216,-62.5696,-42.1181,-0.1777
217,-61.3806,-44.6721,-0.3751
218,-60.1718,-47.1869,-0.5885
219,-58.9434,-49.6882,-0.8058
220,-57.7131,-52.1461,-1.0308
221,-56.4586,-54.5096,-1.2704
222,-55.0794,-56.7156,-1.5249
223,-52.4485,-58.548,-1.7696
224,-49.0595,-58.1223,-1.9835
225,-46.3899,-57.2912,-2.1554
226,-44.4056,-56.3752,-2.2707
227,-42.9968,-55.4344,-2.3178
228,-42.2004,-54.507,-2.3018
229,-42.1053,-53.6744,-2.2374
230,-42.9415,-52.9762,-2.1371
231,-44.5593,-52.5827,-2.0177
232,-46.4348,-53.4219,-1.8936
233,-48.1652,-55.0946,-1.7668
234,-49.7776,-56.9392,-1.6372
235,-51.3377,-58.8315,-1.5051
236,-52.8854,-60.8197,-1.3623
237,-54.4173,-56.2775,-1.1777
238,-55.9652,-51.9237,-0.956
239,-57.5207,-47.7341,-0.6931
240,-59.0802,-43.6922,-0.3979
241,-60.6137,-39.8167,-0.0864
242,-61.9397,-36.0702,0.2193
243,-62.7527,-32.4272,0.4903
244,-63.0484,-28.9289,0.7321
245,-62.7835,-25.4653,0.931
246,-62.005,-21.9719,1.0601
247,-61.1242,-18.3604,1.102
248,-60.2439,-21.3515,1.0708
249,-59.3124,-24.2158,0.976
250,-58.3519,-27.0206,0.8357
251,-57.3721,-29.7506,0.6573
252,-56.3957,-32.3605,0.4503
253,-55.4192,-34.8766,0.2358
254,-54.4536,-37.3203,0.0242
255,-53.4918,-39.6837,-0.1797
256,-52.5725,-41.9645,-0.3677
257,-51.6825,-44.2753,-0.5347
258,-50.9235,-46.5474,-0.6857
259,-50.374,-48.7506,-0.8252
260,-49.4935,-47.7418,-0.9529
261,-47.5726,-46.8452,-1.0722
262,-45.1734,-45.9655,-1.177
263,-43.0992,-45.0598,-1.2628
264,-41.4282,-44.0924,-1.3073
265,-40.2222,-43.1176,-1.3164
266,-39.6722,-42.1536,-1.3085
267,-39.6265,-41.1742,-1.2668
268,-40.1557,-40.3063,-1.2327
269,-40.935,-39.3979,-1.1577
270,-42.062,-38.4907,-1.0559
271,-43.8065,-37.4861,-0.9318
272,-45.7593,-36.0191,-0.7983
273,-47.7652,-33.8714,-0.6656
274,-49.7362,-31.0193,-0.5303
275,-51.6663,-28.179,-0.3918
276,-53.5355,-25.4393,-0.2135
277,-55.3725,-22.8021,-0.0047
278,-57.1787,-20.1117,0.2235
279,-58.7793,-17.4058,0.4726
280,-59.9458,-14.9342,0.7322
281,-60.6629,-12.7218,1.0046
282,-60.9072,-10.7354,1.2715
283,-60.6935,-8.7647,1.5011
284,-60.109,-6.8238,1.6886
285,-59.4185,-4.7796,1.8376
