Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-0.0348,-0.0214,0.0305
2,-0.2136,-0.0208,0.0877
3,-0.5363,0.0358,0.1388
4,-0.9599,0.1437,0.1726
5,-1.4626,0.2951,0.1888
6,-2.0172,0.4797,0.1888
7,-2.5903,0.6875,0.1753
8,-3.1544,0.9043,0.1504
9,-3.6811,1.1155,0.1181
10,-4.1495,1.3125,0.0807
11,-4.5436,1.4829,0.0403
12,-4.8405,1.6167,0.0002
13,-5.0268,1.706,-0.0403
14,-5.0932,1.743,-0.0824
15,-5.0387,1.725,-0.1254
16,-4.8655,1.6524,-0.17
17,-4.5795,1.5256,-0.212
18,-4.1881,1.35,-0.2525
19,-3.7047,1.131,-0.2879
20,-3.1435,0.8766,-0.3235
21,-2.535,0.6006,-0.3591
22,-1.9174,0.3097,-0.3858
23,-1.3197,0.0115,-0.3982
24,-0.7713,-0.2788,-0.3904
25,-0.3036,-0.5505,-0.3614
26,0.0575,-0.7903,-0.31
27,0.2847,-0.9896,-0.2386
28,0.3655,-1.1423,-0.1544
29,0.2828,-1.2347,-0.0662
30,0.0378,-1.2655,0.0199
31,-0.3593,-1.2329,0.0923
32,-0.8834,-1.1424,0.1452
33,-1.5026,-0.9935,0.1759
34,-2.1881,-0.7956,0.1861
35,-2.8936,-0.5665,0.1787
36,-3.5819,-0.326,0.1521
37,-4.2216,-0.0835,0.1138
38,-4.7831,0.1485,0.0693
39,-5.233,0.3503,0.02
40,-5.555,0.5087,-0.0308
41,-5.733,0.609,-0.0791
42,-5.7587,0.6418,-0.1271
43,-5.634,0.602,-0.1715
44,-5.3611,0.4844,-0.2195
45,-4.948,0.293,-0.269
46,-4.4048,0.035,-0.3216
47,-3.7485,-0.2825,-0.3784
48,-3.0043,-0.6477,-0.4384
49,-2.1875,-1.0585,-0.4968
50,-1.3189,-1.4983,-0.5559
51,-0.4155,-1.9474,-0.6113
52,0.4781,-2.3822,-0.6598
53,1.3126,-2.7849,-0.6909
54,2.0463,-3.1555,-0.6906
55,2.6529,-3.4919,-0.6517
56,3.1126,-3.7958,-0.5783
57,3.3975,-4.0523,-0.4748
58,3.5018,-4.2533,-0.35
59,3.4367,-4.3946,-0.2231
60,3.207,-4.4669,-0.11
61,2.8266,-4.4618,-0.0238
62,2.3276,-4.3733,0.0281
63,1.7348,-4.2088,0.0466
64,1.0919,-3.9972,0.0363
65,0.4449,-3.76,-0.0031
66,-0.1746,-3.5045,-0.0656
67,-0.7394,-3.2441,-0.1401
68,-1.212,-3.0009,-0.2179
69,-1.5601,-2.798,-0.2915
70,-1.7628,-2.6502,-0.3616
71,-1.8088,-2.5664,-0.4229
72,-1.6883,-2.5663,-0.4758
73,-1.4123,-2.6462,-0.5215
74,-0.9877,-2.8046,-0.5569
75,-0.4244,-3.0372,-0.583
76,0.2613,-3.341,-0.6024
77,1.0553,-3.7081,-0.6231
78,1.9219,-4.1214,-0.6455
79,2.8441,-4.5588,-0.6731
80,3.7572,-4.9911,-0.7005
81,4.6223,-5.4009,-0.7175
82,5.3887,-5.7734,-0.7156
83,6.0326,-6.1095,-0.6865
84,6.5319,-6.4115,-0.6256
85,6.8762,-6.677,-0.5394
86,7.0519,-6.9055,-0.4345
87,7.0549,-7.0883,-0.3238
88,6.8951,-7.2228,-0.2211
89,6.5822,-7.2863,-0.1397
90,6.1375,-7.2719,-0.0869
91,5.5869,-7.1701,-0.0648
92,4.9744,-7.012,-0.0688
93,4.341,-6.8235,-0.0976
94,3.719,-6.6211,-0.1467
95,3.1426,-6.402,-0.2111
96,2.6435,-6.1853,-0.2816
97,2.2451,-5.9995,-0.3541
98,1.9714,-5.8511,-0.4222
99,1.8411,-5.7603,-0.4813
100,1.8713,-5.7392,-0.5328
101,2.0592,-5.7947,-0.5777
102,2.3906,-5.9259,-0.6161
103,2.8472,-6.1198,-0.6452
104,3.4354,-6.3876,-0.6689
105,4.1389,-6.7225,-0.6903
106,4.9433,-7.1055,-0.7176
107,5.813,-7.5219,-0.7529
108,6.7122,-7.9521,-0.7918
109,7.6031,-8.3753,-0.8343
110,8.4255,-8.7613,-0.8681
111,9.1274,-9.0914,-0.8789
112,9.701,-9.3771,-0.8579
113,10.1364,-9.6277,-0.8017
114,10.42,-9.8448,-0.7198
115,10.5504,-10.0253,-0.6177
