Amostra,Pitch_X,Roll_Y,Yaw_Z
1,13.7444,-27.1962,-50.7686
2,13.7444,-27.1962,-50.7686
3,17.7118,-26.9748,-46.3408
4,18.1994,-28.4752,-45.1843
5,18.5769,-29.4179,-43.9585
6,18.7598,-29.6766,-42.7282
7,18.9624,-29.2197,-41.499
8,19.2609,-28.481,-40.2697
9,19.5082,-27.7213,-39.041
10,19.6053,-27.1353,-37.8121
11,19.6068,-26.8186,-36.6013
12,19.5957,-26.7517,-35.6736
13,19.1852,-26.9657,-35.1538
14,17.2142,-27.4885,-35.1096
15,14.852,-28.3283,-35.5312
16,12.5784,-29.4147,-36.3591
17,10.4908,-30.7297,-37.5323
18,8.5707,-32.2756,-38.7564
19,6.773,-34.1058,-39.9758
20,5.0472,-36.2973,-41.198
21,3.3182,-38.6843,-42.4191
22,1.5227,-41.0603,-43.6452
23,-0.4017,-43.3438,-44.8622
24,-2.451,-45.4894,-46.0822
25,-4.5515,-47.4355,-47.2654
26,-6.5682,-49.4362,-48.2767
27,-8.4297,-51.5645,-49.0375
28,-10.1591,-53.6752,-49.5081
29,-10.9797,-55.6525,-49.6741
30,-10.6456,-57.4069,-49.5119
31,-9.7295,-58.9087,-49.0481
32,-8.7917,-60.0666,-48.3097
33,-7.8472,-60.7703,-47.3351
34,-6.7514,-60.8947,-46.2102
35,-5.5516,-60.4714,-45.0284
36,-4.4326,-59.6357,-43.8418
37,-3.4925,-58.5806,-42.684
38,-2.747,-57.4323,-41.5793
39,-2.1353,-56.256,-40.5788
40,-1.6438,-55.1508,-39.7549
41,-1.2539,-54.2328,-39.2046
42,-0.9149,-53.6058,-39.0149
43,-1.697,-53.3855,-39.2651
44,-3.8801,-53.6172,-39.9597
45,-6.0366,-54.2021,-41.0174
46,-8.1424,-55.0391,-42.2387
47,-10.276,-56.1079,-43.4603
48,-12.4084,-57.5337,-44.6815
49,-14.4362,-59.4188,-45.9039
50,-16.3281,-61.6641,-47.1246
51,-18.1115,-63.9623,-48.3455
52,-19.8681,-66.1361,-49.5662
