Amostra,Pitch_X,Roll_Y,Yaw_Z
1,0.0628,0.0015,-0.018
2,0.1651,0.0057,-0.0559
3,0.2488,0.0126,-0.1004
4,0.2988,0.0203,-0.1454
5,0.3154,0.0273,-0.1889
6,0.3048,0.0315,-0.2331
7,0.2715,0.031,-0.2816
8,0.2191,0.0234,-0.332
9,0.1559,0.0111,-0.3835
10,0.0925,-0.0069,-0.4326
11,0.0411,-0.0296,-0.4742
12,0.012,-0.0537,-0.5086
13,0.0135,-0.0808,-0.5376
14,0.0505,-0.1081,-0.5621
15,0.1306,-0.1371,-0.5841
16,0.254,-0.1688,-0.6029
17,0.4242,-0.2011,-0.6171
18,0.6404,-0.2327,-0.6286
19,0.8996,-0.2654,-0.6398
20,1.1854,-0.2963,-0.6529
21,1.4895,-0.3248,-0.6673
22,1.7988,-0.3516,-0.6834
23,2.0877,-0.3754,-0.6997
24,2.344,-0.3965,-0.7152
25,2.5625,-0.413,-0.7267
26,2.7315,-0.4274,-0.7377
27,2.8464,-0.4341,-0.7462
28,2.9011,-0.4309,-0.75
29,2.8837,-0.4172,-0.7523
30,2.7985,-0.4027,-0.7556
31,2.6463,-0.3926,-0.7614
32,2.4332,-0.3877,-0.7692
33,2.1764,-0.387,-0.7796
34,1.8916,-0.39,-0.7916
35,1.5914,-0.4007,-0.8035
36,1.2901,-0.4215,-0.8172
37,1.0017,-0.4498,-0.8301
38,0.7407,-0.4892,-0.845
39,0.5228,-0.5346,-0.8616
40,0.355,-0.589,-0.8809
41,0.2465,-0.6487,-0.9027
42,0.2014,-0.7161,-0.9259
43,0.2157,-0.7889,-0.9512
44,0.2854,-0.8614,-0.9765
45,0.397,-0.9305,-0.9992
46,0.5434,-1.0,-1.016
47,0.7156,-1.0709,-1.0229
48,0.8972,-1.139,-1.0234
49,1.0615,-1.2037,-1.0184
50,1.195,-1.263,-1.0138
51,1.2832,-1.3196,-1.0102
52,1.316,-1.3741,-1.0113
53,1.2882,-1.4266,-1.018
54,1.2035,-1.4784,-1.0329
55,1.0683,-1.5292,-1.0563
56,0.8882,-1.579,-1.0866
57,0.6777,-1.6286,-1.1215
58,0.4501,-1.6768,-1.1599
59,0.2166,-1.7287,-1.2014
60,-0.0072,-1.7831,-1.2433
61,-0.2115,-1.8373,-1.2864
62,-0.3903,-1.8935,-1.3256
63,-0.5351,-1.9521,-1.359
64,-0.646,-2.0102,-1.3853
65,-0.713,-2.074,-1.4017
66,-0.73,-2.1445,-1.4119
67,-0.7151,-2.217,-1.4199
68,-0.6827,-2.2921,-1.4266
69,-0.6458,-2.365,-1.432
70,-0.615,-2.4362,-1.4363
71,-0.5902,-2.5059,-1.4437
72,-0.5792,-2.5756,-1.452
73,-0.58,-2.6443,-1.4601
74,-0.5843,-2.7159,-1.4688
75,-0.5925,-2.7886,-1.4781
76,-0.5985,-2.8609,-1.4885
77,-0.6004,-2.932,-1.5013
78,-0.5938,-3.0017,-1.5137
79,-0.5738,-3.0748,-1.5281
80,-0.5292,-3.1422,-1.5408
81,-0.46,-3.2158,-1.5499
82,-0.3586,-3.2969,-1.5572
83,-0.2225,-3.3825,-1.5636
84,-0.0507,-3.4736,-1.5711
85,0.1507,-3.5712,-1.58
86,0.3848,-3.672,-1.5892
87,0.6487,-3.782,-1.5984
88,0.9398,-3.8914,-1.6042
89,1.2653,-3.9969,-1.6091
90,1.6134,-4.1054,-1.6122
91,1.9755,-4.2086,-1.6129
92,2.3529,-4.3123,-1.6097
93,2.7364,-4.4103,-1.6024
94,3.1265,-4.5062,-1.5902
95,3.5178,-4.5996,-1.5746
96,3.9033,-4.6945,-1.5585
97,4.2799,-4.7882,-1.5418
98,4.6446,-4.8782,-1.526
99,4.9953,-4.9635,-1.5122
100,5.3219,-5.0412,-1.5007
101,5.6273,-5.1156,-1.4917
102,5.91,-5.1858,-1.487
103,6.1635,-5.2506,-1.486
104,6.3915,-5.3157,-1.488
105,6.5997,-5.3813,-1.4951
106,6.7815,-5.4436,-1.5045
107,6.9418,-5.5077,-1.515
108,7.0659,-5.5642,-1.5284
109,7.1473,-5.6154,-1.5434
110,7.184,-5.6591,-1.5573
111,7.1817,-5.7003,-1.571
112,7.1269,-5.7326,-1.5835
113,7.0141,-5.762,-1.5913
114,6.8475,-5.7918,-1.5944
115,6.634,-5.8235,-1.5958
116,6.3792,-5.8547,-1.5952
117,6.0829,-5.8806,-1.5944
118,5.7515,-5.9033,-1.591
119,5.3915,-5.9259,-1.5871
120,5.0111,-5.9508,-1.5853
121,4.6212,-5.9787,-1.5851
122,4.2433,-6.0127,-1.5887
123,3.8824,-6.0471,-1.5972
124,3.5431,-6.0808,-1.6089
125,3.2254,-6.1133,-1.6259
126,2.9311,-6.1503,-1.6463
127,2.6648,-6.1836,-1.669
128,2.4319,-6.22,-1.6945
129,2.2376,-6.2623,-1.7196
130,2.0802,-6.3037,-1.7431
