Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-0.0073,-0.001,-0.0013
2,-0.0188,-0.0034,-0.0048
3,-0.0344,-0.0093,-0.0076
4,-0.0492,-0.0141,-0.0106
5,-0.0636,-0.0153,-0.0132
6,-0.0802,-0.0213,-0.0165
7,-0.0945,-0.0253,-0.02
8,-0.1052,-0.0277,-0.0236
9,-0.1218,-0.0342,-0.0265
10,-0.1359,-0.0369,-0.0304
11,-0.1504,-0.0399,-0.0336
12,-0.1647,-0.0452,-0.0375
13,-0.1782,-0.0504,-0.0407
14,-0.1906,-0.0546,-0.0443
15,-0.2049,-0.0595,-0.0475
16,-0.2179,-0.0646,-0.0508
17,-0.2313,-0.0694,-0.0546
18,-0.2432,-0.0725,-0.0581
19,-0.2576,-0.0773,-0.0611
20,-0.2701,-0.0835,-0.0634
21,-0.282,-0.0881,-0.0667
22,-0.2931,-0.0944,-0.0693
23,-0.3047,-0.1008,-0.0724
24,-0.3142,-0.1074,-0.0757
25,-0.3255,-0.1121,-0.0793
26,-0.3391,-0.1171,-0.0821
27,-0.351,-0.1218,-0.0854
28,-0.3622,-0.1269,-0.0896
29,-0.3733,-0.1326,-0.093
30,-0.3835,-0.1387,-0.0969
31,-0.3937,-0.1458,-0.1005
32,-0.4021,-0.1531,-0.1041
33,-0.4107,-0.1574,-0.1072
34,-0.4211,-0.1636,-0.1113
35,-0.429,-0.171,-0.1148
36,-0.4373,-0.1751,-0.1179
37,-0.4472,-0.1807,-0.1212
38,-0.4545,-0.1848,-0.1244
39,-0.4625,-0.191,-0.1278
40,-0.4713,-0.1992,-0.1314
41,-0.4794,-0.2062,-0.1342
42,-0.4865,-0.2126,-0.1384
43,-0.4955,-0.2191,-0.1418
44,-0.5024,-0.2241,-0.145
45,-0.5106,-0.2307,-0.1477
46,-0.5188,-0.2387,-0.1504
47,-0.5238,-0.2428,-0.1544
48,-0.5279,-0.2511,-0.1581
49,-0.532,-0.2573,-0.1608
50,-0.5362,-0.263,-0.1649
51,-0.5433,-0.2706,-0.1678
52,-0.5491,-0.2751,-0.1717
53,-0.5521,-0.2805,-0.174
54,-0.5557,-0.2881,-0.1765
55,-0.5607,-0.2972,-0.1799
56,-0.5655,-0.3015,-0.1827
57,-0.5685,-0.3058,-0.1864
58,-0.572,-0.3125,-0.1896
59,-0.5755,-0.3189,-0.1935
60,-0.5805,-0.3237,-0.1966
61,-0.5865,-0.3319,-0.1994
62,-0.5904,-0.3369,-0.202
63,-0.5945,-0.3416,-0.2052
64,-0.5976,-0.3494,-0.2086
65,-0.5988,-0.3552,-0.2116
66,-0.6035,-0.3622,-0.2153
67,-0.608,-0.3692,-0.2181
68,-0.61,-0.3767,-0.2221
69,-0.6118,-0.3843,-0.225
70,-0.6131,-0.3919,-0.228
71,-0.6129,-0.3969,-0.2317
72,-0.6135,-0.4056,-0.2352
73,-0.6131,-0.4089,-0.2383
74,-0.609,-0.4166,-0.2411
75,-0.6075,-0.4218,-0.244
76,-0.6058,-0.4309,-0.2477
77,-0.6035,-0.4389,-0.2525
78,-0.5997,-0.4468,-0.2564
79,-0.5962,-0.4561,-0.26
80,-0.5936,-0.4625,-0.2623
81,-0.5936,-0.4667,-0.2658
82,-0.5949,-0.4699,-0.2695
83,-0.5964,-0.4723,-0.2715
84,-0.5969,-0.4767,-0.2753
85,-0.597,-0.4828,-0.2787
86,-0.596,-0.4875,-0.2824
87,-0.5956,-0.4916,-0.2875
88,-0.5957,-0.4965,-0.2899
89,-0.5916,-0.5036,-0.2934
90,-0.584,-0.511,-0.2985
91,-0.5832,-0.5195,-0.3035
92,-0.5795,-0.5231,-0.3078
93,-0.5773,-0.5241,-0.3101
94,-0.5759,-0.5283,-0.3131
95,-0.5725,-0.5288,-0.3163
96,-0.5728,-0.532,-0.319
97,-0.5723,-0.5351,-0.3227
98,-0.5656,-0.5394,-0.3263
99,-0.5585,-0.5454,-0.3296
100,-0.5534,-0.55,-0.3326
101,-0.5504,-0.5575,-0.3354
102,-0.5439,-0.5614,-0.3389
103,-0.5353,-0.5684,-0.342
104,-0.5284,-0.5719,-0.3459
105,-0.5248,-0.5757,-0.3496
106,-0.52,-0.5805,-0.3531
107,-0.5119,-0.5867,-0.357
108,-0.5072,-0.5923,-0.3597
109,-0.504,-0.5949,-0.3627
110,-0.4963,-0.6013,-0.3666
111,-0.4962,-0.6031,-0.3701
112,-0.4923,-0.6024,-0.3736
113,-0.4891,-0.6055,-0.3783
114,-0.4849,-0.6079,-0.3819
115,-0.4796,-0.6101,-0.3855
116,-0.4755,-0.6117,-0.3896
117,-0.4705,-0.6173,-0.3932
118,-0.4662,-0.6241,-0.396
119,-0.46,-0.6292,-0.3995
120,-0.4551,-0.6373,-0.403
121,-0.4502,-0.64,-0.406
122,-0.445,-0.6445,-0.4088
123,-0.4397,-0.649,-0.4121
124,-0.431,-0.6492,-0.4156
125,-0.4244,-0.6542,-0.419
126,-0.4206,-0.6569,-0.4228
127,-0.4161,-0.6565,-0.4265
128,-0.4077,-0.6577,-0.4291
129,-0.4049,-0.6597,-0.4331
130,-0.3994,-0.6627,-0.4367
131,-0.3943,-0.6664,-0.4408
132,-0.3897,-0.6661,-0.4446
133,-0.3841,-0.6697,-0.4487
134,-0.3779,-0.6715,-0.4523
135,-0.3704,-0.6754,-0.4559
136,-0.3628,-0.6783,-0.4596
137,-0.3609,-0.6785,-0.4621
138,-0.3538,-0.6805,-0.4662
139,-0.3475,-0.6791,-0.4687
140,-0.3412,-0.6806,-0.4727
141,-0.3351,-0.6825,-0.4774
142,-0.3295,-0.6859,-0.48
143,-0.3277,-0.6883,-0.4828
144,-0.3212,-0.6914,-0.4877
145,-0.3137,-0.6966,-0.4916
146,-0.3093,-0.698,-0.495
147,-0.302,-0.6995,-0.4986
148,-0.2946,-0.6998,-0.5021
149,-0.2875,-0.7006,-0.5051
150,-0.2799,-0.7035,-0.5081
151,-0.2698,-0.7073,-0.5113
152,-0.2614,-0.7089,-0.515
153,-0.2554,-0.7114,-0.5184
154,-0.248,-0.712,-0.5218
155,-0.2425,-0.7152,-0.5254
156,-0.2354,-0.7137,-0.5293
157,-0.2316,-0.7173,-0.5316
158,-0.227,-0.7208,-0.5349
159,-0.2212,-0.7212,-0.5385
160,-0.2175,-0.7236,-0.5421
161,-0.2153,-0.7209,-0.5462
162,-0.2118,-0.722,-0.5499
163,-0.2047,-0.7248,-0.5533
164,-0.2007,-0.7222,-0.5571
165,-0.1964,-0.7223,-0.56
166,-0.1909,-0.7243,-0.5634
167,-0.1861,-0.7269,-0.5668
168,-0.1811,-0.7293,-0.571
169,-0.1709,-0.7278,-0.5756
