Amostra,Pitch_X,Roll_Y,Yaw_Z
1,71.9869,-20.0023,-17.2147
2,70.5674,-21.2208,-17.2157
3,69.1749,-22.4351,-17.2182
4,67.812,-23.6468,-17.2212
5,66.4551,-24.8536,-17.2249
6,65.1024,-26.0472,-17.2276
7,63.7642,-27.2258,-17.2283
8,62.4539,-28.3945,-17.2283
9,61.172,-29.5345,-17.2297
10,59.9211,-30.6892,-17.231
11,58.6913,-31.8142,-17.2354
12,57.4105,-32.8836,-17.2369
13,56.1627,-33.9196,-17.2343
14,54.9926,-34.9442,-17.2312
15,53.847,-35.9388,-17.2332
16,52.689,-36.8981,-17.2362
17,51.5438,-37.8344,-17.2388
18,50.4338,-38.7518,-17.2425
19,49.3469,-39.6648,-17.2506
20,48.2652,-40.5647,-17.2597
21,47.1867,-41.4607,-17.271
22,46.1312,-42.3545,-17.284
23,45.0932,-43.2581,-17.2985
24,44.0602,-44.1755,-17.3143
25,43.0385,-45.1138,-17.3301
26,42.0216,-46.0535,-17.3458
27,40.9934,-46.9382,-17.3612
28,40.0928,-47.8708,-17.3757
29,39.2784,-48.724,-17.4039
30,38.216,-49.7179,-17.4307
31,37.105,-50.6108,-17.4453
32,36.1238,-51.5574,-17.4487
33,35.3039,-52.449,-17.4574
34,34.4714,-53.3501,-17.4732
35,33.5394,-54.1809,-17.4888
36,32.5893,-54.9914,-17.4992
37,31.7093,-55.7782,-17.5073
38,30.9251,-56.5493,-17.5191
39,30.1017,-57.2481,-17.5341
40,29.352,-57.9697,-17.5513
41,28.6295,-58.6525,-17.5769
42,27.7563,-59.433,-17.5998
43,26.8835,-60.1766,-17.6152
44,26.085,-60.9677,-17.628
45,25.3677,-61.7134,-17.6435
46,24.6539,-62.4622,-17.6614
47,23.8794,-63.1759,-17.6787
48,23.1189,-63.8922,-17.6939
49,22.4472,-64.723,-17.7114
50,21.7703,-65.6548,-17.7326
51,21.022,-66.611,-17.7512
52,20.2107,-67.3957,-17.76
53,19.3756,-67.964,-17.7585
54,18.6055,-68.4259,-17.7462
55,18.0434,-68.9997,-17.737
56,17.5597,-69.6616,-17.738
57,16.9957,-70.2782,-17.745
58,16.3776,-70.9583,-17.7515
59,15.7974,-71.5553,-17.7616
60,15.1151,-72.0152,-17.7676
61,14.3394,-72.3463,-17.761
62,13.7077,-72.7638,-17.7465
63,13.3021,-73.1767,-17.741
64,12.8544,-73.6704,-17.7465
65,12.2329,-74.2526,-17.7509
